Sat Jun 22 16:49:28 2024    output.pstats

         203525 function calls (202417 primitive calls) in 6619.465 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.000    0.000 fromnumeric.py:1117(_argmax_dispatcher)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
      100    0.000    0.000    0.000    0.000 fromnumeric.py:3317(_mean_dispatcher)
        2    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
      100    0.000    0.000    0.000    0.000 multiarray.py:341(where)
      100    0.000    0.000    0.000    0.000 arraysetops.py:133(_unique_dispatcher)
      504    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      600    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      459    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      393    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      100    0.000    0.000    0.000    0.000 multiarray.py:1368(may_share_memory)
        9    0.000    0.000    0.000    0.000 mio5.py:549(write_regular_element)
      200    0.000    0.000    0.000    0.000 {built-in method time.time}
      100    0.000    0.000    0.000    0.000 {sklearn.svm._libsvm.set_verbosity_wrap}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
      276    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      224    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 mio5.py:843(write_file_header)
       67    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
       28    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 mio5.py:450(to_writeable)
       62    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       54    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
       27    0.000    0.000    0.000    0.000 mio5.py:522(write_bytes)
      120    0.000    0.000    0.000    0.000 <string>:1(__new__)
      103    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 tokenize.py:374(read_or_stop)
       54    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.000    0.000 blas.py:259(find_best_blas_type)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      120    0.000    0.000    0.000    0.000 inspect.py:891(tokeneater)
       32    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
        9    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       27    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      216    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        9    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       54    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      358    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
       10    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedWriter' objects}
        2    0.000    0.000    0.000    0.000 memory_profiler.py:740(_count_ctxmgr)
      120    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF8E2F759A0}
      103    0.000    0.000    0.000    0.000 enum.py:628(value)
        1    0.000    0.000    0.000    0.000 memory_profiler.py:702(__init__)
        3    0.000    0.000    0.000    0.000 miobase.py:234(matdims)
        2    0.000    0.000    0.000    0.000 enum.py:836(__and__)
       68    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       59    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 {built-in method time.asctime}
        2    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
